,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SL,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.6,3.3,8.2,7.7,3.8,4.3,5.5,2.4,3.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,5.17,20.0,18.0,15.0,13.0,12.0,3.7,3.6,1.4,1.3,1.4,3.0,3.0,3.0,1.0,1.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
210523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,15.5,23.3,15.9,31.3,43.2,37.4,28.4,29.9,13.6,12.7,4.8,0.3,0.0,0.0,0.0,0.0,14.2,9.5,25.99,25.0,23.0,16.0,14.0,12.0,4.2,2.4,1.8,1.0,2.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.2,11.0,27.3,33.8,37.3,26.9,36.4,34.8,28.1,22.1,9.8,1.6,0.0,0.0,0.0,0.0,14.2,8.9,25.07,22.0,20.0,15.0,13.0,12.0,5.2,3.5,1.0,0.9,1.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.9,1.2,9.8,37.9,39.6,40.2,40.3,36.0,30.2,21.5,9.8,1.4,0.0,0.0,0.0,0.0,14.3,8.7,24.88,24.0,22.0,19.0,16.0,15.0,4.0,5.0,5.2,3.6,1.4,4.0,4.0,3.0,4.0,4.0,30.0,30.0,20.0,30.0,61.0,0.0,0.0,10.0
210526,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.8,11.6,13.7,19.8,15.6,17.9,8.0,31.8,9.6,12.6,6.4,3.1,1.2,0.0,0.0,0.0,0.0,14.3,2.5,15.72,23.0,21.0,16.0,14.0,13.0,3.5,2.8,1.2,1.6,1.8,3.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210527,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1.4,1.9,5.8,3.5,15.2,47.9,45.8,14.0,31.6,20.5,10.3,1.9,0.0,0.0,0.0,0.0,14.3,5.4,14.99,22.0,19.0,16.0,15.0,14.0,4.6,4.3,3.0,3.8,2.9,4.0,1.0,4.0,4.0,1.0,70.0,10.0,30.0,30.0,0.0,10.0,0.0,0.0
210531,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.7,10.5,19.5,25.9,32.1,34.8,35.7,34.8,31.2,25.1,17.2,8.2,1.0,0.0,0.0,0.0,0.0,14.4,11.2,28.51,30.0,28.0,23.0,20.0,18.0,2.4,1.5,0.5,1.5,2.0,3.0,4.0,4.0,1.0,1.0,10.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0
210601,0.0,0.0,0.0,0.0,0.0,0.0,1.3,4.3,15.3,19.3,29.1,32.8,36.6,36.8,34.9,14.6,20.0,17.5,4.3,1.3,0.0,0.0,0.0,0.0,14.4,11.8,27.42,29.0,26.0,22.0,20.0,19.0,4.1,2.7,2.5,2.9,2.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210602,0.0,0.0,0.0,0.0,0.0,0.0,1.8,4.6,7.2,16.8,22.3,33.4,24.4,20.2,22.1,19.1,8.6,22.4,8.9,1.8,0.0,0.0,0.0,0.0,14.4,7.5,21.53,23.0,22.0,19.0,19.0,18.0,3.4,1.1,2.9,1.4,2.1,4.0,4.0,4.0,4.0,4.0,30.0,30.0,60.0,30.0,30.0,0.0,1.0,0.0
210603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9,3.9,11.8,6.3,4.6,2.3,3.6,5.6,3.9,1.3,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,5.13,25.0,24.0,18.0,15.0,14.0,3.9,3.5,1.7,1.7,1.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
