,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210902,957.5,921.1,889.5,883.5,875.2,874.3000000000001,885.6,889.1999999999999,1052.5,1180.8,1196.1,1224.2,1190.6999999999998,1199.7,1229.0,1196.5,1165.4,1206.1,1115.9,1066.7,1065.5,1029.0,996.7,958.0,12.9,5.69,28.0,25.0,22.0,21.0,20.0,1.4,1.2,0.2,1.3,1.1,3.0,4.0,4.0,4.0,4.0,20.0,60.0,30.0,30.0,30.0,0.0,0.0,0.0
210903,952.8,911.7,896.1999999999999,881.7,875.2,867.9,860.9000000000001,877.5,978.7,1050.4,1092.4,1140.6,1166.8,1174.4,1211.1,1226.1,1277.9,1228.1999999999998,1128.0,1088.8,1037.9,1032.3,962.7,943.9,12.9,14.17,27.0,25.0,23.0,22.0,21.0,0.5,0.8,1.6,1.9,1.0,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210906,849.9000000000001,834.1,821.6,780.7,773.9,759.5,762.9,798.9,850.5,971.3,999.5,1045.6,1063.7,1071.0,1090.9,1115.0,1105.7,1065.8,1037.1,984.3,961.1,981.8,936.8,911.7,12.8,6.07,26.0,24.0,22.0,21.0,21.0,4.4,2.4,2.1,2.3,2.2,4.0,4.0,4.0,4.0,4.0,60.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210907,868.2,895.2,849.0,818.3000000000001,792.6,807.8,817.6,846.6,951.5,1110.7,1086.5,1109.8,1105.3,1171.5,1175.6,1227.8,1161.7,1155.7,1083.9,1012.9,985.8,956.3,954.7,904.6,12.7,6.73,27.0,24.0,20.0,18.0,18.0,3.3,2.3,1.2,0.9,1.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210908,884.5,858.0,843.5,815.0,802.6,793.4,800.5,812.1,911.0,1043.2,1113.0,1097.0,1117.8,1127.7,1147.0,1159.3,1179.7,1134.0,1082.3,996.7,951.2,950.3,915.2,887.2,12.7,19.76,29.0,26.0,23.0,21.0,20.0,1.0,1.1,0.5,1.2,1.3,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210909,852.6999999999999,839.1,826.7,836.0,801.4000000000001,775.4,781.2,784.5,953.7,1008.6,1100.7,1101.8,1101.7,1141.5,1162.1,1181.3000000000002,1181.9,1166.0,1090.1,1025.9,1046.7,978.6,996.3,908.8,12.6,16.68,24.0,23.0,21.0,20.0,20.0,2.6,1.1,1.4,1.3,1.1,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210910,910.2,890.4,886.0,850.8000000000001,840.9,829.5,825.8000000000001,869.1,940.3,1061.4,1079.4,1079.8,1073.7,1125.5,1146.2,1149.2,1161.8,1132.8,1060.9,976.7,960.0,941.0,934.2,923.4,12.6,7.33,30.0,27.0,23.0,21.0,20.0,1.8,1.5,0.8,0.7,1.4,1.0,1.0,3.0,3.0,3.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0
210913,897.9,886.3000000000001,879.6,854.8,867.6999999999999,821.6999999999999,836.2,845.4,976.1,1087.2,1113.3,1160.2,1098.1,1180.4,1204.4,1209.2,1178.5,1157.4,1084.9,1054.7,1025.5,1002.3,973.8,942.5,12.5,15.62,25.0,24.0,22.0,21.0,20.0,4.3,2.9,2.3,2.6,2.2,4.0,4.0,4.0,4.0,3.0,60.0,60.0,30.0,60.0,20.0,0.0,0.0,0.0
210914,908.5,897.1,857.6999999999999,877.7,830.4,836.7,807.9000000000001,837.0,979.8,1067.5,1081.7,1098.7,1081.9,1146.0,1170.3,1156.7,1182.1,1156.1,1119.3,1039.9,1014.6,1019.1,960.8,964.6,12.5,7.06,28.0,25.0,21.0,19.0,19.0,3.9,3.2,2.5,2.3,2.1,4.0,3.0,4.0,4.0,3.0,30.0,20.0,30.0,30.0,20.0,0.0,0.0,0.0
210915,925.4,845.5,832.7,842.8000000000001,812.9,824.1,844.6,841.6,933.7,1060.0,1103.4,1097.6,1106.1,1160.3,1172.2,1213.4,1199.5,1193.4,1107.3,1027.5,975.5,964.2,936.4,907.7,12.4,22.98,27.0,24.0,22.0,21.0,20.0,3.3,1.9,3.4,3.8,9.6,4.0,4.0,4.0,4.0,3.0,30.0,30.0,70.0,60.0,20.0,0.0,5.0,0.0
210916,892.9,849.8,828.4,805.0,783.1999999999999,782.8,780.3,823.5,882.2,999.1,1093.5,1101.0,1064.8,1114.0,1117.0,1139.0,1119.1,1085.3,1037.4,964.7,940.2,945.1,1011.1,887.0,12.4,9.8,28.0,25.0,22.0,20.0,19.0,4.5,3.0,2.5,0.8,0.6,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
