,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,forcast_horizon
210629,895.9,878.6,867.5,895.1,812.3,829.1,816.7,840.5,1016.7,1124,1161.7,1165.1,1212.8,1233,1306.2,1264.8,1339,1234.1,1145.4,1080.7,1043.2,1001.2,988.2,971.4,1
210701,950.3,932.3,955,910.8,890.9,873.6,860,898.5,1115.1,1244.1,1259.1,1286.5,1299.9,1307.5,1300.4,1331.5,1305.6,1336.3,1245.1,1110.5,1102.9,1057,1033.3,1024.4,2
210702,1009.5,951.5,941.1,918.8,888.3,899,926.7,984,1072.8,1166.2,1226.4,1262.3,1267.3,1255.6,1275.7,1340.1,1294.9,1272.9,1166,1109.1,1050.8,1034.1,989.9,992.1,1
210705,903.7,897.9,874.3,865.1,876.9,847.7,856.8,893.5,1045.6,1172.7,1160.3,1164.9,1141.3,1133.7,1139.7,1188.4,1151.5,1105.6,999,974.9,977.3,991,948.7,976.3,3
210706,926.9,916.2,879.8,884.1,873.1,867,867.5,879.9,992.4,1088.5,1123.8,1178.7,1192.2,1158.3,1203.6,1196.6,1211,1216.3,1077.6,1085.8,1079,1062.4,1044.8,998.7,1
210707,993,942.9,923.7,920.3,928.4,919.4,939.9,951.6,1106.8,1207.8,1276.9,1318.3,1305.4,1288.2,1355.1,1348.3,1325.5,1269.5,1205.6,1129.6,1089.4,1120.1,1075.9,1071.4,1
210708,1055.2,989.2,976.7,973.1,944.3,928.4,888.4,922.5,1036.1,1124.2,1122.6,1259.1,1223.8,1213.6,1289,1247.8,1238.7,1222.1,1143.5,1061.6,1057.2,1027.8,1043,1019.6,1
210709,1009.9,951.7,913,899.2,872.1,869.1,886.7,890.5,1061.6,1157.3,1195,1189.9,1219.8,1269.7,1285.2,1305.7,1275.4,1244.5,1118.8,1041,1009.9,961.2,967.1,964.1,1
210712,972.2,953.9,922.3,918.6,892.2,884.9,913.2,928.8,1111.7,1244.3,1289.1,1317.9,1328.4,1396,1392.9,1403.3,1373.9,1381.6,1310.3,1199.5,1221.8,1183.4,1136.8,1113.2,3
210713,1048.5,1050.1,1003.7,992.8,971.7,960.8,993.1,1031.5,1173.3,1272.9,1301,1358.5,1396.6,1336.4,1391.3,1418,1396.2,1311.8,1283.1,1173.2,1164.2,1137.6,1071.9,1101.5,1
210714,1020.3,985.5,1003.1,1000.1,971.7,953.5,959.5,985.6,1221.9,1315.8,1337.8,1352.5,1322.3,1359.5,1401.5,1436.1,1403.5,1348.7,1234.8,1159.5,1163.5,1144.8,1139.8,1063.5,1
210715,1062.1,988.5,956.4,943.3,946,942,1005.5,994.3,1132.2,1308,1350.1,1344.1,1329.6,1404.7,1438.3,1386.8,1394.8,1291.5,1208.5,1144.7,1143.9,1122.8,1095.4,1071,1
210716,1017.1,974.7,996.6,969.1,950.2,937.4,963,978.2,1184.2,1276.2,1329.3,1340.4,1305,1317.8,1415.2,1338,1305.4,1260.8,1152.7,1081,1038.2,1028.4,1008.7,997.7,1
210719,953,981.1,946.1,938.1,914.9,893.5,916.7,1009.5,1097,1240,1309.3,1358.6,1319.3,1377.2,1437.7,1404.6,1406.1,1376.4,1255.4,1154.5,1163.2,1088.3,1042.8,1024.9,3
210720,1019.8,1000.2,992.7,976.1,961.9,941.4,979.8,1008.2,1226.7,1305.8,1348.7,1355.2,1341.5,1438.3,1456.5,1469.7,1380.5,1351.5,1326.2,1197.1,1199.1,1173.7,1100.7,1136.6,1
210721,1050.3,1001.7,988.1,957.5,945.3,911.1,936.4,975.8,1157.8,1290.6,1383,1398.5,1393.9,1411,1467.1,1533.1,1482.9,1405.2,1313.2,1214,1142.9,1143.2,1118,1083.5,1
210722,1062.5,1069.2,980.6,1026.2,984.1,939.7,951,1052.6,1174.1,1299.8,1377.2,1406.3,1403.3,1412.5,1456.3,1518.9,1427.7,1415.1,1331.6,1250.4,1207.2,1185,1153.2,1100.3,1
210723,1033.4,1051.1,1012.7,1004.7,979.6,954.3,968.3,973.3,1183.5,1332.1,1377.4,1450.3,1407.2,1420.4,1509.8,1488,1427.6,1423.1,1257.1,1179.1,1125.9,1117.3,1077.1,1072.1,1
210726,1025.9,1015.8,1007.7,950.7,976.7,959.2,962.3,1031.2,1222.5,1351.6,1377.2,1412.6,1398.4,1461.8,1503.7,1492.4,1486.2,1456.4,1357.4,1236.6,1216.3,1168.2,1125.8,1100.9,3
210727,1127.7,1046,899,913.2,852.7,813.9,865.8,885.3,1072.7,1237.3,1271.5,1315.1,1370.7,1333.2,1489.7,1380.3,1445.5,1416.9,1279.2,1204,1211.8,1170.1,1139.8,1064.5,1
210728,1033,987.3,1010,991,947.4,960.5,934,981,1261.5,1318.9,1376.4,1406.1,1420.3,1395.1,1473.3,1410.2,1425.1,1350.4,1275.5,1194.1,1157.8,1149.6,1133,1072.5,1
210729,1099.9,1091.1,1001.2,1004,978.9,967.5,949,1038.6,1204.1,1348.4,1368.2,1422.7,1436.7,1443.3,1470.7,1439.8,1444.1,1423.8,1251.6,1164.7,1159.8,1172.7,1133.2,1089.2,1
